fecha,id,id_legislador,id_proyecto
2018-03-09,0,9891,138818
2017-12-06,1,9891,137830
2017-11-07,2,9891,137375
2017-06-13,3,9891,135267
2017-04-27,4,9891,134583
2016-11-14,5,9891,132654
2016-10-27,6,9891,132308
2016-03-08,7,9891,128594
2015-11-03,8,9891,127178
2015-10-06,9,9891,126823
2015-07-14,10,9891,125462
2015-06-02,11,9891,124777
2015-05-11,12,9891,124439
2015-03-24,13,9891,123873
2016-12-14,14,5146,133188
2016-11-22,15,5146,132804
2016-11-01,16,5146,132477
2016-10-18,17,5146,132117
2016-10-18,18,5146,132114
2016-10-14,19,5146,132139
2016-09-27,20,5146,131836
2016-08-03,21,5146,131029
2016-07-13,22,5146,130766
2016-06-15,23,5146,130280
2016-05-18,24,5146,129742
2016-03-08,25,5146,128594
2016-03-02,26,5146,128446
2016-02-16,27,5146,128332
2015-11-10,28,5146,127268
2015-08-12,29,5146,125989
2015-07-14,30,5146,125462
2015-07-01,31,5146,125290
2015-07-01,32,5146,125289
2015-07-01,33,5146,125291
2015-07-01,34,5146,125293
2015-07-01,35,5146,125292
2015-06-16,36,5146,125014
2015-06-16,37,5146,125018
2015-06-10,38,5146,124969
2015-06-01,39,5146,125265
2015-04-15,40,5146,125032
2015-04-14,41,5146,124090
2015-04-07,42,5146,123986
2015-04-07,43,5146,123992
2015-04-15,44,2743,125032
2015-05-26,45,8883,124827
2019-04-09,46,1044,143144
2018-05-10,47,1044,139714
2017-12-06,48,1044,137830
2017-11-15,49,1044,137709
2017-11-07,50,1044,137375
2017-10-03,51,1044,136846
2017-08-09,52,1044,136210
2017-06-13,53,1044,135267
2017-05-16,54,1044,134851
2017-04-27,55,1044,134583
2017-03-08,56,1044,133794
2016-11-30,57,1044,132939
2016-11-01,58,1044,132470
2016-11-01,59,1044,132477
2016-10-04,60,1044,131924
2016-09-13,61,1044,131639
2016-08-03,62,1044,131046
2016-07-21,63,1044,130857
2016-05-24,64,1044,130529
2016-05-17,65,1044,129690
2016-05-17,66,1044,129710
2016-05-04,67,1044,129450
2016-04-26,68,1044,129292
2016-03-29,69,1044,128824
2016-03-16,70,1044,128759
2016-03-02,71,1044,128447
2015-11-03,72,1044,127178
2015-09-16,73,1044,126602
2015-06-16,74,1044,125014
2015-04-13,75,1044,129125
2018-07-10,76,10282,140424
2016-10-27,77,10282,132308
2016-09-14,78,10282,131814
2015-12-15,79,10282,127929
2015-09-15,80,10282,126577
2018-12-05,81,9913,142063
2018-11-14,82,9913,141848
2018-07-04,83,9913,140359
2017-11-01,84,9913,137324
2017-10-11,85,9913,137048
2017-10-10,86,9913,137051
2017-06-13,87,9913,135251
2017-05-10,88,9913,134770
2017-03-15,89,9913,133923
2016-10-14,90,9913,132139
2016-08-03,91,9913,131029
2016-07-13,92,9913,130766
2016-04-06,93,9913,128973
2019-04-02,94,759,143084
2018-12-05,95,759,142063
2016-09-27,96,759,131836
2016-06-15,97,759,130280
2019-03-13,98,11524,142562
2018-12-19,99,11524,142226
2018-04-09,100,11524,139152
2018-03-09,101,11524,138818
2017-08-09,102,11524,136210
2017-06-13,103,11524,135267
2017-04-27,104,11524,134583
2016-11-30,105,11524,132925
2016-11-15,106,11524,132672
2016-11-14,107,11524,132655
2016-07-06,108,11524,130645
2016-07-06,109,11524,130647
2016-06-07,110,11524,130103
2016-05-05,111,11524,129486
2016-03-08,112,11524,128594
2015-10-06,113,11524,126823
2015-09-11,114,11524,126518
2015-03-24,115,11524,123873
2019-05-14,116,9900,143583
2019-05-14,117,9900,143593
2019-05-14,118,9900,143567
2019-05-14,119,9900,143568
2019-05-14,120,9900,143602
2019-05-14,121,9900,143603
2019-05-14,122,9900,143600
2019-05-14,123,9900,143601
2019-04-09,124,9900,143144
2019-04-08,125,9900,143141
2019-04-02,126,9900,143084
2018-12-05,127,9900,142063
2018-11-14,128,9900,141848
2018-10-09,129,9900,141494
2018-08-01,130,9900,140668
2018-07-10,131,9900,140425
2018-05-08,132,9900,139576
2018-05-02,133,9900,139480
2018-03-06,134,9900,138643
2017-12-06,135,9900,137830
2017-11-22,136,9900,137658
2017-11-14,137,9900,137519
2017-11-07,138,9900,137375
2017-11-01,139,9900,137300
2017-10-10,140,9900,137051
2017-07-12,141,9900,135668
2017-07-12,142,9900,135674
2017-06-29,143,9900,135482
2017-06-27,144,9900,135458
2017-06-07,145,9900,135165
2017-06-05,146,9900,135085
2017-06-05,147,9900,135084
2017-05-16,148,9900,134850
2017-05-10,149,9900,134776
2017-04-26,150,9900,134536
2017-04-05,151,9900,134340
2017-04-04,152,9900,134288
2017-03-14,153,9900,133875
2016-11-30,154,9900,132929
2016-11-22,155,9900,132804
2019-04-02,156,8267,143084
2018-11-14,157,8267,141848
2018-10-09,158,8267,141494
2017-07-12,159,8267,135668
2017-06-07,160,8267,135165
2016-11-30,161,8267,132929
2016-11-22,162,8267,132804
2016-09-27,163,8267,131836
2016-06-08,164,8267,130145
2016-03-08,165,8267,128594
2016-03-02,166,8267,128446
2015-12-15,167,8267,127930
2015-11-10,168,8267,127268
2015-07-01,169,8267,125290
2015-07-01,170,8267,125289
2015-07-01,171,8267,125291
2015-07-01,172,8267,125293
2015-07-01,173,8267,125292
2015-06-10,174,8267,124969
2015-06-01,175,8267,125265
2018-02-07,176,5131,138322
2017-11-14,177,5131,137539
2017-10-26,178,5131,137238
2017-08-09,179,5131,136210
2017-06-13,180,5131,135267
2016-11-01,181,5131,132481
2016-05-24,182,5131,130529
2016-03-16,183,5131,128759
2016-03-08,184,5131,128594
2015-12-15,185,5131,127929
2015-12-15,186,5131,127931
2015-06-10,187,5131,124969
2017-04-04,188,414,134288
2019-02-12,189,922,142491
2018-12-05,190,922,142063
2018-11-22,191,922,141926
2018-07-10,192,922,140424
2018-05-22,193,922,139802
2018-04-04,194,922,139128
2018-02-21,195,922,138468
2018-02-09,196,922,138413
2018-02-07,197,922,138322
2017-12-20,198,922,137988
2017-12-06,199,922,137830
2017-11-15,200,922,137606
2017-11-14,201,922,137535
2017-11-08,202,922,137427
2017-11-07,203,922,137375
2017-08-09,204,922,136210
2017-07-12,205,922,135674
2017-07-12,206,922,135696
2017-07-05,207,922,135589
2017-06-27,208,922,135458
2017-06-13,209,922,135253
2017-06-13,210,922,135267
2017-06-05,211,922,135084
2017-06-05,212,922,135085
2017-04-18,213,922,134381
2017-03-14,214,922,133874
2017-02-07,215,922,133569
2016-12-21,216,922,133260
2016-11-23,217,922,132827
2016-11-14,218,922,132647
2016-11-14,219,922,132655
2016-10-04,220,922,131924
2016-10-03,221,922,131898
2016-09-13,222,922,131639
2016-07-12,223,922,130719
2016-06-15,224,922,130248
2016-06-15,225,922,130547
2016-06-08,226,922,130149
2016-06-06,227,922,130072
2016-06-06,228,922,130074
2015-06-16,229,7354,125010
2015-06-16,230,7354,125009
2018-12-05,231,10003,142063
2017-12-19,232,10003,137958
2017-12-06,233,10003,137830
2017-08-09,234,10003,136210
2017-06-13,235,10003,135267
2017-04-27,236,10003,134583
2017-04-05,237,10003,134340
2016-11-30,238,10003,132925
2016-10-27,239,10003,132308
2016-09-14,240,10003,131814
2015-12-15,241,10003,127929
2015-11-03,242,10003,127178
2015-10-06,243,10003,126823
2015-09-11,244,10003,126518
2015-06-18,245,10003,125087
2015-06-17,246,10003,125053
2015-06-16,247,10003,125024
2015-06-16,248,10003,125025
2015-03-03,249,10003,123532
2018-12-14,250,598,142181
2018-11-13,251,598,141815
2018-06-06,252,598,140068
2018-03-14,253,598,138873
2018-03-13,254,598,138855
2018-03-09,255,598,138818
2018-02-21,256,598,138471
2017-12-06,257,598,137830
2017-10-03,258,598,136846
2017-09-05,259,598,136527
2017-08-01,260,598,135993
2016-11-30,261,598,132925
2016-10-27,262,598,132308
2016-09-14,263,598,131814
2015-11-03,264,598,127178
2015-09-15,265,598,126567
2015-08-12,266,598,125989
2015-08-04,267,598,125745
2015-07-15,268,598,125513
2015-06-01,269,598,124753
2015-03-17,270,598,123750
2015-03-04,271,598,123525
2015-03-03,272,598,123450
2015-03-03,273,598,123493
2015-03-03,274,598,123494
2017-12-06,275,277,137830
2017-11-07,276,277,137375
2017-11-01,277,277,137300
2017-07-12,278,277,135668
2017-06-29,279,277,135482
2017-06-07,280,277,135165
2017-05-16,281,277,134850
2017-04-04,282,277,134288
2017-03-03,283,277,133711
2016-11-30,284,277,132929
2016-11-22,285,277,132804
2016-11-14,286,277,132655
2016-10-18,287,277,132117
2016-10-18,288,277,132114
2016-08-03,289,277,131029
2016-06-15,290,277,130280
2016-03-02,291,277,128446
2016-02-16,292,277,128332
2015-11-10,293,277,127268
2015-08-10,294,277,125874
2015-07-01,295,277,125290
2015-07-01,296,277,125289
2015-07-01,297,277,125291
2015-07-01,298,277,125293
2015-07-01,299,277,125292
2015-06-10,300,277,124969
2015-04-15,301,277,125032
2017-08-09,302,11531,136210
2019-04-10,303,6900,143192
2019-04-09,304,6900,143144
2019-03-13,305,6900,142562
2019-03-11,306,6900,142699
2019-02-12,307,6900,142491
2018-12-05,308,6900,142060
2018-11-22,309,6900,141926
2018-11-12,310,6900,141809
2018-07-10,311,6900,140424
2018-07-10,312,6900,140425
2018-06-18,313,6900,140161
2018-06-12,314,6900,140077
2018-04-17,315,6900,139308
2018-03-09,316,6900,138818
2018-03-06,317,6900,138686
2018-02-07,318,6900,138322
2017-12-06,319,6900,137830
2017-12-05,320,6900,137800
2017-11-21,321,6900,137648
2017-11-15,322,6900,137606
2017-11-14,323,6900,137535
2017-08-09,324,6900,136210
2017-07-12,325,6900,135674
2017-07-04,326,6900,135553
2017-06-27,327,6900,135458
2017-06-13,328,6900,135267
2017-06-05,329,6900,135084
2017-06-05,330,6900,135085
2017-04-27,331,6900,134583
2017-04-26,332,6900,134536
2016-11-30,333,6900,132925
2016-10-06,334,6900,131983
2016-09-14,335,6900,131814
2016-09-13,336,6900,131639
2016-07-20,337,6900,130844
2016-06-14,338,6900,130226
2016-04-12,339,6900,129090
2016-03-08,340,6900,128594
2015-12-15,341,6900,127929
2015-12-08,342,6900,127766
2019-02-15,343,7604,142497
2018-10-24,344,7604,141631
2018-06-06,345,7604,140034
2018-05-09,346,7604,139623
2018-05-02,347,7604,139480
2018-04-17,348,7604,139316
2018-03-06,349,7604,138666
2018-03-06,350,7604,138667
2018-03-06,351,7604,138669
2017-04-04,352,7604,134310
2016-12-28,353,7604,133349
2016-12-13,354,7604,133163
2016-12-06,355,7604,133025
2016-10-19,356,7604,132179
2016-09-06,357,7604,131517
2016-04-06,358,7604,128973
2015-08-04,359,7604,125764
2015-08-04,360,7604,125765
2015-07-01,361,7604,125256
2015-06-10,362,7604,124969
2019-03-13,363,8584,142562
2018-10-16,364,8584,141548
2018-06-12,365,8584,140095
2018-02-08,366,8584,138412
2017-11-14,367,8584,137525
2017-10-10,368,8584,137016
2017-10-10,369,8584,137017
2017-09-13,370,8584,136681
2017-06-06,371,8584,135121
2017-05-16,372,8584,134856
2017-05-16,373,8584,134860
2017-04-04,374,8584,134313
2016-12-28,375,8584,133330
2016-12-07,376,8584,133071
2016-09-14,377,8584,131661
2016-07-05,378,8584,130608
2016-05-03,379,8584,129429
2016-05-03,380,8584,129428
2015-12-15,381,8584,127929
2015-12-15,382,8584,127931
2015-11-17,383,8584,127438
2015-11-10,384,8584,127266
2015-08-18,385,8584,126052
2015-06-10,386,8584,124969
2015-05-12,387,8584,124476
2015-05-12,388,8584,124478
2015-04-07,389,8584,123959
2015-03-17,390,8584,123750
2015-03-04,391,8584,123529
2015-03-04,392,8584,123524
2015-03-04,393,8584,123530
2015-03-04,394,8584,123542
2015-03-04,395,8584,123531
2019-05-14,396,10209,143583
2019-05-14,397,10209,143593
2019-05-14,398,10209,143567
2019-05-14,399,10209,143568
2019-05-14,400,10209,143602
2019-05-14,401,10209,143603
2019-05-14,402,10209,143600
2019-05-14,403,10209,143601
2019-04-09,404,10209,143144
2019-04-08,405,10209,143141
2018-12-05,406,10209,142063
2018-11-14,407,10209,141848
2018-10-09,408,10209,141494
2018-08-01,409,10209,140668
2018-07-10,410,10209,140425
2018-07-10,411,10209,140424
2018-05-08,412,10209,139576
2018-05-02,413,10209,139480
2018-04-03,414,10209,139089
2018-03-13,415,10209,138859
2018-03-13,416,10209,138863
2018-03-13,417,10209,138864
2018-03-06,418,10209,138643
2017-12-06,419,10209,137830
2017-11-22,420,10209,137658
2017-11-14,421,10209,137519
2017-11-07,422,10209,137375
2017-11-01,423,10209,137300
2017-10-11,424,10209,137048
2017-10-10,425,10209,137051
2018-07-10,426,9969,140424
2018-07-10,427,9969,140425
2018-05-11,428,9969,139681
2017-12-05,429,9969,137770
2017-11-07,430,9969,137375
2017-08-09,431,9969,136210
2016-06-22,432,9969,130405
2016-05-24,433,9969,130529
2016-03-16,434,9969,128759
2016-03-08,435,9969,128594
2016-03-02,436,9969,128447
2015-12-15,437,9969,127929
2015-12-15,438,9969,127931
2015-11-04,439,9969,127196
2015-09-01,440,9969,126305
2015-07-14,441,9969,125462
2015-06-01,442,9969,125265
2015-05-05,443,509,124397
2017-12-06,444,5304,137830
2017-05-11,445,5304,134793
2019-04-09,446,3157,143144
2019-04-08,447,3157,143141
2019-04-02,448,3157,143084
2018-12-05,449,3157,142063
2018-11-14,450,3157,141848
2018-10-09,451,3157,141494
2018-08-01,452,3157,140668
2018-07-10,453,3157,140424
2018-06-18,454,3157,140161
2018-05-08,455,3157,139576
2018-05-02,456,3157,139480
2018-04-03,457,3157,139089
2018-03-06,458,3157,138643
2019-04-09,459,3948,143144
2019-03-13,460,3948,142562
2018-12-05,461,3948,142063
2018-07-10,462,3948,140424
2018-06-12,463,3948,140077
2018-05-10,464,3948,139714
2018-04-09,465,3948,139152
2018-03-09,466,3948,138818
2018-02-20,467,3948,138450
2017-12-19,468,3948,137958
2017-12-06,469,3948,137830
2017-12-05,470,3948,137800
2017-11-08,471,3948,137427
2017-11-07,472,3948,137375
2017-10-03,473,3948,136846
2017-08-09,474,3948,136210
2017-06-13,475,3948,135267
2017-04-27,476,3948,134583
2017-03-08,477,3948,133794
2017-03-03,478,3948,133711
2016-11-30,479,3948,132939
2016-11-01,480,3948,132470
2016-11-01,481,3948,132477
2016-09-14,482,3948,131814
2016-09-13,483,3948,131639
2016-08-23,484,3948,131385
2016-06-15,485,3948,130547
2016-06-08,486,3948,130149
2016-05-24,487,3948,130529
2016-05-18,488,3948,129868
2016-05-17,489,3948,129690
2016-05-17,490,3948,129710
2016-05-04,491,3948,129450
2016-03-08,492,3948,128594
2016-03-02,493,3948,128447
2015-12-15,494,3948,127929
2015-12-15,495,3948,127931
2015-11-17,496,3948,127429
2015-11-03,497,3948,127178
2015-10-27,498,3948,127066
2018-11-22,499,9927,141950
2018-09-13,500,9927,141227
2018-03-06,501,9927,138675
2017-10-17,502,9927,137133
2017-08-16,503,9927,136290
2017-08-16,504,9927,136291
2017-05-02,505,9927,134634
2017-05-02,506,9927,134626
2017-03-14,507,9927,133860
2015-11-10,508,9927,127265
2015-03-17,509,9927,123755
2015-03-17,510,9927,123760
2015-03-10,511,9927,123599
2015-03-10,512,9927,123600
2018-10-09,513,11383,141494
2018-08-01,514,11383,140668
2018-07-17,515,11383,140544
2018-07-10,516,11383,140424
2018-04-03,517,11383,139089
2018-03-13,518,11383,138859
2018-03-13,519,11383,138863
2018-03-13,520,11383,138864
2018-03-06,521,11383,138643
2018-02-07,522,11383,138322
2017-12-06,523,11383,137830
2017-11-22,524,11383,137658
2017-11-15,525,11383,137606
2017-11-15,526,11383,137709
2017-11-14,527,11383,137519
2017-11-07,528,11383,137375
2017-11-01,529,11383,137300
2017-10-03,530,11383,136846
2017-08-09,531,11383,136210
2017-07-12,532,11383,135668
2017-05-16,533,11383,134850
2017-05-10,534,11383,134776
2017-04-05,535,11383,134340
2017-04-04,536,11383,134288
2017-03-14,537,11383,133875
2017-03-08,538,11383,133794
2016-11-30,539,11383,132929
2016-11-22,540,11383,132804
2016-10-18,541,11383,132114
2016-10-18,542,11383,132117
2016-10-04,543,11383,131924
2016-09-27,544,11383,131836
2016-08-03,545,11383,131029
2016-07-13,546,11383,130766
2016-06-15,547,11383,130280
2016-06-15,548,11383,130547
2016-06-08,549,11383,130145
2016-05-18,550,11383,129868
2016-05-17,551,11383,129710
2016-03-02,552,11383,128446
2015-06-29,553,7737,125217
2015-06-16,554,7737,125009
2015-06-16,555,7737,125010
2015-06-02,556,7737,124777
2015-03-24,557,7737,123873
2015-02-27,558,7737,123409
2017-09-13,559,9964,136681
2017-09-12,560,9964,136614
2017-05-02,561,9964,134626
2017-04-26,562,9964,134536
2017-03-14,563,9964,133858
2016-09-14,564,9964,131659
2016-09-14,565,9964,131660
2016-09-13,566,9964,131643
2016-08-16,567,9964,131238
2016-08-02,568,9964,131005
2016-07-05,569,9964,130611
2016-03-16,570,9964,128759
2016-03-09,571,9964,128611
2015-12-09,572,9964,127834
2015-11-04,573,9964,127196
2015-11-03,574,9964,127178
2015-07-14,575,9964,125462
2015-05-11,576,10000,124439
2017-10-11,577,9997,137048
2017-04-04,578,9997,134288
2016-11-30,579,9997,132929
2016-10-18,580,9997,132114
2016-10-18,581,9997,132117
2015-11-10,582,9997,127268
2018-07-04,583,11525,140359
2018-06-06,584,11525,140035
2017-12-14,585,11525,137937
2017-10-03,586,11525,136899
2017-10-03,587,11525,136900
2017-06-13,588,11525,135260
2017-06-13,589,11525,135251
2017-03-15,590,11525,133923
2017-03-15,591,11525,133915
2015-11-17,592,11525,127443
2015-11-10,593,11525,127270
2019-03-13,594,260,142562
2018-12-04,595,260,142054
2018-12-04,596,260,142043
2018-11-22,597,260,141921
2018-11-06,598,260,141756
2018-10-16,599,260,141546
2018-09-13,600,260,141227
2018-09-04,601,260,141076
2018-09-04,602,260,141075
2018-07-17,603,260,140535
2018-06-05,604,260,139992
2018-06-05,605,260,140003
2018-03-09,606,260,138818
2017-12-14,607,260,137937
2017-10-10,608,260,137017
2017-06-22,609,260,135389
2017-04-04,610,260,134313
2017-04-04,611,260,134318
2017-03-15,612,260,133923
2017-03-03,613,260,133711
2017-02-15,614,260,133598
2016-09-13,615,260,131635
2016-05-17,616,260,129710
2016-05-03,617,260,129429
2016-05-03,618,260,129434
2016-05-03,619,260,129435
2016-04-06,620,260,128940
2016-03-16,621,260,128771
2015-12-21,622,260,127996
2015-11-17,623,260,127438
2015-09-11,624,260,126518
2015-09-01,625,260,126284
2015-07-15,626,260,125515
2015-07-08,627,260,125369
2015-07-08,628,260,125371
2015-06-18,629,260,125087
2015-04-15,630,260,124149
2015-04-07,631,260,123946
2015-03-03,632,260,123532
2015-02-15,633,260,123447
2018-12-05,634,2965,142063
2018-09-07,635,2965,141176
2018-07-10,636,2965,140424
2018-04-09,637,2965,139152
2018-03-09,638,2965,138818
2018-01-30,639,2965,138216
2017-10-11,640,2965,137037
2017-08-09,641,2965,136210
2017-06-13,642,2965,135267
2017-04-27,643,2965,134583
2016-10-27,644,2965,132308
2016-09-14,645,2965,131814
2016-03-08,646,2965,128594
2015-12-15,647,2965,127929
2015-11-11,648,2965,127299
2015-10-06,649,2965,126823
2015-09-11,650,2965,126518
2015-08-26,651,2965,126183
2015-07-14,652,2965,125462
2015-06-01,653,2965,125265
2015-03-24,654,2965,123873
2017-11-01,655,7891,137300
2017-07-12,656,7891,135668
2017-07-12,657,7891,135674
2017-04-04,658,7891,134288
2016-07-13,659,7891,130766
2015-07-01,660,7891,125289
2015-07-01,661,7891,125291
2015-07-01,662,7891,125290
2015-07-01,663,7891,125293
2015-07-01,664,7891,125292
2019-04-08,665,9689,143141
2017-10-11,666,9689,137048
2017-10-10,667,9689,137051
2018-12-05,668,11529,142063
2017-04-04,669,11529,134288
2016-07-13,670,11529,130766
2019-03-13,671,197,142562
2018-04-20,672,197,139373
2018-04-09,673,197,139152
2018-04-04,674,197,139128
2018-03-21,675,197,139042
2018-03-09,676,197,138818
2017-12-21,677,197,138027
2017-12-06,678,197,137830
2017-12-06,679,197,137845
2017-11-15,680,197,137709
2017-11-14,681,197,137535
2017-11-07,682,197,137375
2017-08-09,683,197,136210
2017-07-12,684,197,135674
2017-06-13,685,197,135231
2017-06-13,686,197,135267
2017-05-09,687,197,134730
2017-04-28,688,197,134587
2017-03-03,689,197,133711
2016-11-30,690,197,132925
2016-11-23,691,197,132827
2016-11-01,692,197,132477
2016-10-27,693,197,132308
2016-09-14,694,197,131814
2016-09-13,695,197,131639
2016-05-17,696,197,129710
2016-03-08,697,197,128594
2016-01-19,698,197,128171
2015-12-15,699,197,127929
2015-12-15,700,197,127931
2015-09-16,701,197,126602
2015-09-16,702,197,126603
2015-09-11,703,197,126518
2015-08-05,704,197,125838
2015-06-16,705,197,125009
2015-06-16,706,197,125010
2015-03-24,707,197,123873
2018-04-09,708,5167,139152
2018-03-09,709,5167,138818
2017-08-09,710,5167,136210
2017-06-13,711,5167,135267
2017-04-27,712,5167,134583
2017-03-23,713,5167,134073
2017-02-15,714,5167,133642
2016-11-30,715,5167,132925
2016-10-27,716,5167,132308
2016-10-18,717,5167,132138
2016-09-14,718,5167,131814
2016-03-08,719,5167,128592
2016-03-08,720,5167,128594
2016-02-15,721,5167,128330
2016-02-02,722,5167,128297
2015-10-06,723,5167,126823
2015-08-19,724,5167,126122
2015-07-14,725,5167,125462
2015-03-24,726,5167,123873
2019-05-14,727,10001,143583
2019-05-14,728,10001,143593
2019-05-14,729,10001,143567
2019-05-14,730,10001,143568
2019-05-14,731,10001,143602
2019-05-14,732,10001,143603
2019-05-14,733,10001,143600
2019-05-14,734,10001,143601
2018-12-05,735,10001,142063
2018-11-14,736,10001,141848
2018-10-09,737,10001,141494
2018-08-01,738,10001,140668
2018-05-08,739,10001,139576
2018-05-02,740,10001,139480
2018-04-03,741,10001,139089
2018-03-13,742,10001,138859
2018-03-13,743,10001,138863
2018-03-13,744,10001,138864
2018-02-07,745,10001,138322
2017-12-06,746,10001,137830
2017-11-22,747,10001,137658
2017-11-14,748,10001,137519
2017-11-07,749,10001,137375
2017-11-01,750,10001,137300
2017-10-11,751,10001,137048
2017-10-10,752,10001,137051
2017-08-09,753,10001,136210
2017-06-29,754,10001,135482
2017-06-07,755,10001,135165
2017-05-16,756,10001,134850
2017-05-10,757,10001,134776
2017-04-05,758,10001,134340
2017-04-04,759,10001,134288
2017-03-14,760,10001,133875
2016-11-30,761,10001,132929
2016-10-14,762,10001,132139
2018-10-09,763,7740,141497
2018-09-13,764,7740,141227
2018-07-17,765,7740,140535
2018-06-05,766,7740,140003
2018-03-09,767,7740,138818
2017-12-05,768,7740,137785
2017-08-09,769,7740,136188
2017-05-16,770,7740,134856
2017-05-10,771,7740,134769
2017-05-09,772,7740,134752
2017-03-15,773,7740,133923
2016-11-08,774,7740,132545
2016-09-13,775,7740,131635
2016-08-11,776,7740,131177
2016-06-07,777,7740,130179
2016-05-03,778,7740,129429
2016-03-08,779,7740,128594
2015-12-08,780,7740,127769
2015-11-17,781,7740,127438
2015-09-01,782,7740,126284
2015-08-05,783,7740,125820
2015-08-04,784,7740,125760
2015-06-16,785,7740,125024
2015-06-16,786,7740,125025
2015-04-13,787,7740,124528
2015-04-07,788,7740,123946
2015-03-03,789,7740,123532
2019-03-11,790,4500,142699
2018-07-10,791,4500,140424
2018-03-09,792,4500,138818
2018-02-20,793,4500,138454
2018-02-19,794,4500,138434
2017-12-06,795,4500,137830
2017-12-05,796,4500,137773
2017-11-28,797,4500,137718
2017-11-28,798,4500,137720
2017-11-14,799,4500,137499
2017-11-14,800,4500,137535
2017-09-26,801,4500,136766
2017-08-09,802,4500,136210
2017-06-13,803,4500,135267
2017-04-27,804,4500,134583
2016-11-30,805,4500,132925
2016-10-27,806,4500,132308
2016-09-14,807,4500,131814
2016-04-06,808,4500,128969
2016-04-06,809,4500,128970
2016-04-06,810,4500,128968
2016-04-06,811,4500,128966
2016-04-06,812,4500,128967
2016-04-06,813,4500,128976
2016-04-06,814,4500,128977
2016-04-06,815,4500,128975
2016-04-06,816,4500,128971
2016-04-06,817,4500,128974
2016-03-08,818,4500,128594
2015-12-08,819,4500,127769
2015-10-06,820,4500,126823
2015-07-14,821,4500,125462
2015-06-16,822,4500,125010
2015-06-08,823,4500,124889
2015-04-07,824,4500,123992
2018-11-22,825,2873,141921
2018-11-06,826,2873,141758
2018-04-23,827,2873,139021
2018-02-07,828,2873,138371
